Name	Phone	Site	Adresse	Activité
 Clovis Location Guillummette Franchisé indépendant 	 03 23 75 65 00 	 www.facebook.com/clovislocation ,  www.clovislocation.com/pages/site-clovis-location.asp?id_site=132 ,  www.clovislocation.com/fr/trouver-agence.htm 	 zi Villeneuve Saint Germain, 02204 SOISSONS CEDEX	 location de camions, de véhicules industriels,  agents, concessionnaires, succursales de camions, de véhicules industriels 
 AUTRANS BETON 	 04 67 58 75 00 		 2 chem Certels, 02700 TERGNIER	 location de camions, de véhicules industriels 
 Clovis Location Château-Thierry 	 03 23 83 16 73 	 www.facebook.com/clovislocation ,  www.clovislocation.com/fr/agence/chateau-thierry_age247_a56e.htm ,  www.clovislocation.com/pages/site-clovis-location.asp?id_site=177 	 r Gustave Eiffel, 02400 CHÂTEAU THIERRY	 location de camions, de véhicules industriels 
 Hydrocureur.Fr 	 09 67 78 18 49 	 www.facebook.com/toutpourlepoidslourd ,  hydrocureur.fr 	 50 r Porte de Laon, 02860 BRUYÈRES ET MONTBÉRAULT	 garages poids lourds 
 Alain Bessenay Vehicules Indusdustriels 	 03 23 54 69 32 		 277 r Grands Prés, 02200 BILLY SUR AISNE	 location de camions, de véhicules industriels 
 Aisne Autos Poids-Lourds Service 	 03 23 04 09 27 		 5 r Voltaire, 02430 GAUCHY	 garages poids lourds 
 S.D.L 	 03 23 39 14 43 		 26 rte Soissons, 02300 CHAUNY	 garages poids lourds 
 Braem 	03 28 43 38 38 , 03 28 43 39 39 	 www.braem.be ,  stebraemfreres.site-solocal.com 	 rte Watou, 59114 STEENVOORDE	 garages poids lourds,  agents, concessionnaires, succursales de camions, de véhicules industriels 
 CIGAMM V.I 	04 70 06 95 30 	 www.tvi.fr/adherent.html?code=7029 ,  cigammvi.site-solocal.com 	 65 rte Paris, 03360 MEAULNE	 garages poids lourds,  agents, concessionnaires, succursales de camions, de véhicules industriels 
 Cigamm V.I 	04 70 05 12 03 , 04 70 05 18 79 	 www.tvi.fr/adherent.html?code=7029 ,  cigammvi-meaulne.site-solocal.com 	 Za Pont Des Nautes 15 r Commerce, 03410 SAINT VICTOR	 garages poids lourds 
 Garage Nevers Sud 	02 41 41 32 32 , 04 70 34 22 50 , 04 70 34 22 48 		 Parc Logistique les Gris, 03400 TOULON SUR ALLIER	 garages poids lourds,  agents, concessionnaires, succursales de camions, de véhicules industriels 
 Allo Louez-Moi 	04 70 31 12 69 		 12 all Mesdames, 03200 VICHY	 location de camions, de véhicules industriels 
 Volvo Trucks Relais Poids Lourds Auvergne Concessionnaire 	04 15 82 00 20 		 zone artisanale le larry, 03400 TOULON SUR ALLIER	 garages poids lourds 
 Carrosserie Réparation Tôlerie Peinture - CRTP 	04 70 58 13 27 , 04 70 58 48 05 	 www.crtp-carrosserie.fr ,  carrosseriereparationtoleriepeinture.site-solocal.com 	 r Ancizes, 03300 CREUZIER LE NEUF	 location de camions, de véhicules industriels,  agents, concessionnaires, succursales de camions, de véhicules industriels 
 ATI ALLIER 	04 70 20 33 44 		 15 r Nicolas Rambourg, 03400 YZEURE	 garages poids lourds 
 Garage De L'Avenir 	04 70 07 61 06 	 www.ad.fr/reseau/ad-auto ,  www.le-site-de.com/garage-de-l-avenir-montmarault_91238.html ,  www.ad-auto.fr/reseau/ad-auto/reparateurs/allier/montmarault 	 11 rte Moulins, 03390 MONTMARAULT	 garages poids lourds 
 Point S 	 04 70 42 05 00 	 www.points.fr ,  www.points.fr/centre-points/aps,avermes,00002932.html 	 90 rte Paris, 03000 AVERMES	 garages poids lourds 
 Auto Truck Industrie Allier (ATI 03) 	 04 70 20 33 44 		 15 r Nicolas Rambourg, 03400 YZEURE	 garages poids lourds 
 Laurent Père et Fils SAS 	 04 70 45 42 07 		 36 r Pierre et Marie Curie, 03500 SAINT POURÇAIN SUR SIOULE	 garages poids lourds 
 LNT 	 04 70 05 88 99 	 facebook.com/points.fr ,  www.points.fr ,  www.points.fr/centre-points/lnt,montlucon,00002752.html 	 54 r Pasquis, 03100 MONTLUÇON	 garages poids lourds 
 Martenat Nord Auvergne Concessionnaire Iveco 	 04 70 98 08 63 	 fr-fr.facebook.com/OpelFR ,  www.martenat.fr ,  www.martenat.fr/implantation/auvergne 	 r Thomassins, 03300 CREUZIER LE VIEUX	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Transports Bourrat 	 04 70 48 12 12 		 Zi r Cheminots, 03400 YZEURE	 location de camions, de véhicules industriels 
 Mercedes-Benz 	 04 70 46 89 42 	 www.cea.mercedes-benz.fr ,  www.mercedes-benz.fr 	 Sortie 44 Zone Commerciale Avermes Cap Nord, 03000 AVERMES	 garages poids lourds 
 Carrosserie Industrielle Billaud 	04 70 90 02 59 , 06 68 67 82 33 , 04 70 90 25 22 		 48 av Pierre Mendès France, 03800 GANNAT	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Transports Julien 	04 70 58 29 65 , 09 77 62 26 14 , 04 70 58 29 45 	 www.transports-julien.com ,  transportsjulien.site-solocal.com 	 zi Coquet, 03260 SAINT GERMAIN DES FOSSÉS	 location de camions, de véhicules industriels 
 Garage Mercedes-Benz Sevi 03 	04 73 26 33 90 		 2 r Romainville, 03300 CUSSET	 garages poids lourds 
 Garage Allier Poids Lourds 	 04 70 35 41 41 		 20 r Nicolas Rambourg, 03400 YZEURE	 garages poids lourds 
 Garage Allier Poids Lourds 	 04 70 35 41 41 		 20 r Nicolas Rambourg, 03400 YZEURE	 garages poids lourds 
 Electric Omnia JMG 	 04 70 98 29 19 		 23 bd Alsace Lorraine, 03300 CUSSET	 garages poids lourds 
 Garage Allier Poids Lourds 	 04 70 35 41 41 		 20 r Nicolas Rambourg, 03400 YZEURE	 garages poids lourds 
